sample_id,lot_id,tool_id,sequence,pr_tone,column,value,flag_type,review_reason,action
S00715,L0035,T02,715,NEGATIVE,pattern_collapse_probability,0.088075,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00354,L0017,T01,354,NEGATIVE,scum_probability,0.312661,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00412,L0020,T03,412,POSITIVE,ler_nm,2.844537,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00044,L0002,T03,44,POSITIVE,ler_nm,3.393034,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00015,L0000,T01,15,NEGATIVE,ler_nm,3.726874,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00047,L0002,T01,47,NEGATIVE,develop_time_s,35.206219,candidate,"tone_specific_IQR_1.5 [38.0715, 70.356]",review_only_no_removal
S00035,L0001,T01,35,NEGATIVE,resist_line_cd_nm,35.974789,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00024,L0001,T03,24,POSITIVE,ler_nm,2.611094,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00270,L0013,T01,270,POSITIVE,pattern_collapse_probability,0.123667,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00186,L0009,T01,186,NEGATIVE,scum_probability,0.369001,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00085,L0004,T02,85,NEGATIVE,ler_nm,2.647681,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00018,L0000,T02,18,POSITIVE,scum_probability,0.752496,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00202,L0010,T02,202,POSITIVE,scum_probability,0.757698,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00523,L0026,T01,523,NEGATIVE,resist_line_cd_nm,42.815402,candidate,"tone_specific_IQR_1.5 [43.0802, 57.4358]",review_only_no_removal
S00523,L0026,T01,523,NEGATIVE,scum_probability,0.345541,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00073,L0003,T01,73,NEGATIVE,scum_probability,0.429194,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00073,L0003,T01,73,NEGATIVE,defect_probability,0.224036,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00627,L0031,T01,627,POSITIVE,pattern_collapse_probability,0.079622,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00065,L0003,T01,65,POSITIVE,defect_probability,0.399862,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00317,L0015,T02,317,POSITIVE,developer_concentration_pct,2.230707,candidate,"tone_specific_IQR_1.5 [2.23432, 2.53288]",review_only_no_removal
S00115,L0005,T01,115,POSITIVE,cdu_3sigma_nm,5.591708,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00115,L0005,T01,115,POSITIVE,defect_probability,0.653146,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00735,L0036,T03,735,POSITIVE,resist_line_cd_nm,57.170615,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00735,L0036,T03,735,POSITIVE,scum_probability,0.823424,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00735,L0036,T03,735,POSITIVE,defect_probability,0.285535,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00477,L0023,T01,477,NEGATIVE,defect_probability,0.174309,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00025,L0001,T02,25,POSITIVE,ler_nm,2.813767,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00025,L0001,T02,25,POSITIVE,defect_probability,0.3422,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00663,L0033,T01,663,POSITIVE,ler_nm,2.430327,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00667,L0033,T03,667,POSITIVE,resist_line_cd_nm,56.823264,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00667,L0033,T03,667,POSITIVE,defect_probability,0.33046,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00058,L0002,T01,58,POSITIVE,peb_temp_c,102.927134,candidate,"tone_specific_IQR_1.5 [103.359, 116.579]",review_only_no_removal
S00058,L0002,T01,58,POSITIVE,ler_nm,3.596569,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00168,L0008,T01,168,POSITIVE,scum_probability,0.827319,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00599,L0029,T01,599,POSITIVE,scum_probability,0.783865,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00496,L0024,T01,496,POSITIVE,develop_time_s,65.206721,candidate,"tone_specific_IQR_1.5 [31.474, 64.3352]",review_only_no_removal
S00496,L0024,T01,496,POSITIVE,pattern_collapse_probability,0.11798,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00707,L0035,T01,707,NEGATIVE,ler_nm,3.600806,candidate,"tone_specific_IQR_1.5 [0.776788, 2.64113]",review_only_no_removal
S00644,L0032,T01,644,POSITIVE,pattern_collapse_probability,-0.038452,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]; broad_physical_review_range (0, 1)",review_only_no_removal
S00313,L0015,T02,313,NEGATIVE,scum_probability,0.389788,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00775,L0038,T01,775,POSITIVE,ler_nm,2.435048,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00756,L0037,T03,756,POSITIVE,ler_nm,2.714863,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00174,L0008,T01,174,POSITIVE,pattern_collapse_probability,0.079932,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00308,L0015,T02,308,POSITIVE,developer_concentration_pct,2.538336,candidate,"tone_specific_IQR_1.5 [2.23432, 2.53288]",review_only_no_removal
S00175,L0008,T01,175,POSITIVE,peb_temp_c,118.592861,candidate,"tone_specific_IQR_1.5 [103.359, 116.579]",review_only_no_removal
S00175,L0008,T01,175,POSITIVE,ler_nm,4.442885,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00419,L0020,T02,419,NEGATIVE,scum_probability,0.259014,candidate,"tone_specific_IQR_1.5 [-0.123114, 0.252642]",review_only_no_removal
S00515,L0025,T01,515,NEGATIVE,defect_probability,0.287275,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00500,L0025,T01,500,POSITIVE,cdu_3sigma_nm,7.415495,candidate,"tone_specific_IQR_1.5 [0.786451, 5.44784]",review_only_no_removal
S00557,L0027,T02,557,POSITIVE,ler_nm,3.351127,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00431,L0021,T02,431,POSITIVE,ler_nm,2.519962,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00577,L0028,T03,577,NEGATIVE,defect_probability,0.204707,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00204,L0010,T02,204,POSITIVE,softbake_temp_c,104.87882,candidate,"tone_specific_IQR_1.5 [90.6915, 104.716]",review_only_no_removal
S00114,L0005,T01,114,POSITIVE,pattern_collapse_probability,0.096554,candidate,"tone_specific_IQR_1.5 [-0.0291372, 0.0781208]",review_only_no_removal
S00271,L0013,T01,271,NEGATIVE,pattern_collapse_probability,0.087962,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00314,L0015,T01,314,POSITIVE,defect_probability,0.336437,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00082,L0004,T03,82,POSITIVE,resist_line_cd_nm,58.831832,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
S00082,L0004,T03,82,POSITIVE,defect_probability,0.478331,candidate,"tone_specific_IQR_1.5 [-0.101423, 0.263461]",review_only_no_removal
S00438,L0021,T01,438,NEGATIVE,cdu_3sigma_nm,5.300976,candidate,"tone_specific_IQR_1.5 [0.753041, 5.25375]",review_only_no_removal
S00438,L0021,T01,438,NEGATIVE,defect_probability,0.181169,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00440,L0022,T01,440,,coat_thickness_nm,76.356346,candidate,"tone_specific_IQR_1.5 [82.612, 121.549]",review_only_no_removal
S00440,L0022,T01,440,,developer_concentration_pct,2.490145,candidate,"tone_specific_IQR_1.5 [2.31641, 2.46785]",review_only_no_removal
S00091,L0004,T02,91,POSITIVE,scum_probability,0.757118,candidate,"tone_specific_IQR_1.5 [-0.364474, 0.748806]",review_only_no_removal
S00228,L0011,T01,228,NEGATIVE,pattern_collapse_probability,0.110668,candidate,"tone_specific_IQR_1.5 [-0.0288057, 0.0860003]",review_only_no_removal
S00432,L0021,T01,432,POSITIVE,nominal_cd_nm,500.0,candidate,"tone_specific_IQR_1.5 [50, 50]",review_only_no_removal
S00439,L0021,T01,439,POSITIVE,developer_concentration_pct,2.203127,candidate,"tone_specific_IQR_1.5 [2.23432, 2.53288]",review_only_no_removal
S00636,L0031,T01,636,POSITIVE,normalized_dose_pct,9.908105,candidate,"tone_specific_IQR_1.5 [82.5836, 117.781]",review_only_no_removal
S00617,L0030,T02,617,NEGATIVE,defect_probability,0.245191,candidate,"tone_specific_IQR_1.5 [-0.055915, 0.173329]",review_only_no_removal
S00006,L0000,T02,6,POSITIVE,ler_nm,-0.610753,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]; broad_physical_review_range (0, None)",review_only_no_removal
S00028,L0001,T01,28,POSITIVE,ler_nm,2.528297,candidate,"tone_specific_IQR_1.5 [0.666762, 2.43022]",review_only_no_removal
S00575,L0028,T03,575,POSITIVE,resist_line_cd_nm,56.645115,candidate,"tone_specific_IQR_1.5 [44.0539, 56.6004]",review_only_no_removal
